shortest path,distance,type,NDepDep,distance_long,NDepArr,QDepDep,angle,QDepArr,other_moving_ac,taxi_time
2830.5556440484934,2986.042278002118,1,0,1014.0460966443912,0,0,693.8927181979645,0,0,13.75
982.2404050092496,1343.764804300205,0,0,0.0,0,0,328.5794500082408,0,8,3.683333333333333
3149.3588323571303,3359.005514429321,1,0,1826.6017585018524,0,1,632.3715330625924,1,2,12.516666666666667
2697.1254526851026,3328.6137353050244,1,1,974.8760264943768,1,1,726.7033497339064,0,4,15.183333333333334
2065.484886848455,2352.385818224416,1,0,974.8760264943768,1,2,490.22804683836335,0,1,18.4
1165.5475705102426,1843.11007820154,0,0,575.4407558091866,0,0,732.8615440450598,0,6,4.483333333333333
1093.8755505365496,1785.0743784164874,0,0,0.0,0,0,651.615031853899,0,3,3.966666666666667
761.7113082862243,948.0696337788014,0,0,0.0,0,0,229.1811428309062,0,3,2.5
1021.4288910287426,1447.270863370698,0,0,806.5635632358426,0,0,305.5965657027678,0,3,5.266666666666667
1169.8033190408748,1455.9232087785183,0,0,608.7054608738868,0,0,361.298017475478,0,1,4.133333333333334
658.0452017247885,1041.0339587214237,0,0,0.0,0,0,344.8370220436456,0,0,2.6166666666666667
1748.887065417704,1958.1968021193647,1,3,974.8760264943768,1,3,372.13493913585154,1,6,9.916666666666666
1093.8755505365496,1433.244103138305,0,0,0.0,0,0,329.88315831367936,0,0,3.716666666666667
1581.3616169237007,1832.117257591333,0,0,608.7054608738868,0,0,519.8715931034922,0,1,7.816666666666666
1802.855932826904,2020.7583575141653,1,0,974.8760264943768,0,0,372.693491328054,0,1,10.483333333333333
1119.2900744194426,1645.398727188949,0,0,575.4407558091866,0,0,464.31616242944926,0,0,4.366666666666666
1853.4514826888287,2064.790541263535,1,0,1314.2736708799266,0,0,336.8810817419301,0,0,10.566666666666666
960.2954680657396,1169.3889472795593,1,3,565.1118910359618,1,2,313.316938907366,0,10,10.016666666666667
1387.2043563481748,1648.575241094294,1,2,746.9421803053973,3,2,464.0903044894853,1,7,11.666666666666666
1619.6718222631885,1906.295102903556,1,2,1014.0460966443912,3,2,918.4640214924178,2,8,14.333333333333334
208.5538333746769,531.0532525008189,0,0,0.0,0,0,52.57526679513575,0,2,9.366666666666667
995.2012782431324,1184.4770938455913,0,0,0.0,0,0,368.12500388615774,0,3,3.3666666666666667
489.24616994961286,595.3898882830129,1,0,0.0,3,1,253.1055205861944,2,4,11.866666666666664
1193.3447757877968,1425.9266662053217,0,0,537.6730309197001,0,0,261.202579868898,0,1,7.65
1404.84563736208,1593.7167304457903,1,1,891.6137929142803,4,0,361.0561121156748,4,8,11.35
2134.559009072841,2245.2396375521407,1,0,1014.0460966443912,1,0,366.4758407221343,1,2,8.866666666666667
101.2537122451,653.5672805453642,0,0,0.0,0,0,183.3432998362418,0,3,1.2833333333333334
1165.5475705102426,1535.016638415898,0,0,806.5635632358426,0,0,304.03611308425127,0,0,3.3833333333333333
2024.7389669336385,2577.5726267104133,1,1,974.8760264943768,0,0,568.6687018137717,0,1,11.5
2350.76091767168,2572.8597067194187,1,0,746.9421803053973,0,0,771.0571925843035,0,0,16.216666666666665
